차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
aa1928,2,X,2,101928,424aa62,1928
aa1929,4,X,1,101929,188aa10,1929
aa1930,1,O,2,101930,50aa86,1930
aa1931,2,X,1,101931,150aa94,1931
aa1932,3,O,5,101932,382aa72,1932
aa1933,2,X,3,101933,15aa75,1933
aa1934,2,X,5,101934,308aa95,1934
aa1935,3,X,5,101935,96aa7,1935
aa1936,2,O,1,101936,127aa88,1936
aa1937,2,X,5,101937,218aa111,1937
aa1938,3,X,1,101938,303aa24,1938
aa1939,4,X,3,101939,65aa93,1939
aa1940,2,X,3,101940,283aa6,1940
aa1941,2,X,4,101941,251aa81,1941
aa1942,3,O,5,101942,240aa6,1942
aa1943,2,O,1,101943,55aa55,1943
aa1944,3,X,5,101944,286aa59,1944
aa1945,2,O,4,101945,18aa6,1945
aa1946,4,O,2,101946,10aa26,1946
aa1947,1,O,3,101947,366aa95,1947
aa1948,3,O,2,101948,397aa58,1948
aa1949,1,O,5,101949,461aa46,1949
aa1950,1,X,2,101950,480aa107,1950
aa1951,1,O,4,101951,217aa57,1951
aa1952,1,X,4,101952,273aa75,1952
aa1953,3,X,3,101953,213aa54,1953
aa1954,4,O,1,101954,347aa144,1954
aa1955,2,O,2,101955,427aa13,1955
aa1956,2,O,5,101956,100aa25,1956
aa1957,3,O,5,101957,310aa143,1957
aa1958,2,X,4,101958,58aa129,1958
aa1959,3,O,1,101959,158aa45,1959
aa1960,1,X,3,101960,295aa85,1960
aa1961,4,O,2,101961,464aa134,1961
aa1962,2,X,4,101962,282aa19,1962
aa1963,4,X,4,101963,227aa113,1963
aa1964,3,O,1,101964,261aa11,1964
aa1965,4,O,2,101965,405aa2,1965
aa1966,2,O,3,101966,455aa1,1966
aa1967,3,X,2,101967,470aa33,1967
aa1968,3,O,5,101968,211aa52,1968
aa1969,2,X,2,101969,276aa117,1969
aa1970,4,O,1,101970,383aa99,1970
aa1971,4,X,1,101971,174aa128,1971
aa1972,1,O,4,101972,54aa146,1972
aa1973,3,X,1,101973,101aa75,1973
aa1974,2,X,2,101974,408aa21,1974
aa1975,1,X,1,101975,74aa42,1975
aa1976,4,X,5,101976,341aa124,1976
aa1977,4,X,4,101977,308aa29,1977
aa1978,2,X,1,101978,135aa9,1978
aa1979,3,X,2,101979,406aa31,1979
aa1980,1,X,3,101980,274aa149,1980
aa1981,1,X,3,101981,318aa8,1981
aa1982,4,X,1,101982,226aa122,1982
aa1983,2,X,1,101983,31aa113,1983
aa1984,2,X,3,101984,280aa52,1984
aa1985,1,X,3,101985,193aa78,1985
aa1986,3,O,4,101986,250aa70,1986
aa1987,1,X,2,101987,112aa50,1987
aa1988,2,X,5,101988,144aa107,1988
aa1989,1,X,3,101989,352aa7,1989
aa1990,3,X,3,101990,102aa40,1990
aa1991,3,X,4,101991,360aa31,1991
aa1992,3,O,5,101992,208aa109,1992
aa1993,3,O,5,101993,344aa64,1993
aa1994,1,O,2,101994,479aa116,1994
aa1995,2,O,1,101995,341aa91,1995
aa1996,4,X,5,101996,130aa35,1996
aa1997,2,X,4,101997,187aa112,1997
aa1998,2,X,5,101998,425aa87,1998
aa1999,1,X,3,101999,343aa88,1999
aa2000,2,O,1,102000,207aa58,2000
aa2001,2,O,5,102001,269aa2,2001
aa2002,4,O,3,102002,428aa113,2002
aa2003,1,X,1,102003,313aa53,2003
aa2004,2,O,1,102004,256aa48,2004
aa2005,3,O,4,102005,309aa57,2005
aa2006,4,O,5,102006,92aa116,2006
aa2007,3,O,3,102007,343aa57,2007
aa2008,2,X,3,102008,69aa71,2008
aa2009,3,X,5,102009,384aa144,2009
aa2010,2,O,5,102010,365aa31,2010
aa2011,3,O,4,102011,235aa149,2011
aa2012,1,X,2,102012,413aa81,2012
aa2013,3,O,4,102013,15aa49,2013
aa2014,3,X,1,102014,324aa140,2014
aa2015,1,X,4,102015,114aa107,2015
aa2016,3,O,4,102016,111aa150,2016
aa2017,2,O,2,102017,323aa91,2017
aa2018,3,X,1,102018,37aa7,2018
aa2019,4,O,3,102019,112aa22,2019
aa2020,3,X,3,102020,172aa54,2020
aa2021,2,X,5,102021,232aa28,2021
aa2022,1,X,5,102022,473aa52,2022
aa2023,3,O,2,102023,113aa76,2023
aa2024,3,O,1,102024,488aa141,2024
aa2025,2,O,1,102025,253aa14,2025
aa2026,3,X,4,102026,482aa70,2026
aa2027,4,X,4,102027,58aa118,2027
aa2028,1,X,3,102028,97aa47,2028
aa2029,1,O,2,102029,321aa141,2029
aa2030,3,X,4,102030,338aa94,2030
aa2031,3,X,5,102031,315aa83,2031
aa2032,2,X,4,102032,2aa58,2032
aa2033,4,O,5,102033,188aa78,2033
aa2034,4,X,5,102034,340aa4,2034
aa2035,3,O,1,102035,111aa52,2035
aa2036,2,X,4,102036,59aa11,2036
aa2037,3,O,4,102037,396aa9,2037
aa2038,2,X,5,102038,478aa125,2038
aa2039,1,X,5,102039,25aa105,2039
aa2040,2,O,3,102040,420aa97,2040
aa2041,1,O,1,102041,296aa4,2041
aa2042,3,O,1,102042,164aa122,2042
aa2043,1,X,1,102043,45aa125,2043
aa2044,3,O,5,102044,46aa94,2044
aa2045,3,X,3,102045,136aa95,2045
aa2046,3,X,2,102046,21aa89,2046
aa2047,4,X,1,102047,187aa138,2047
aa2048,4,O,2,102048,280aa58,2048
aa2049,3,X,2,102049,216aa139,2049
aa2050,2,X,4,102050,238aa80,2050
aa2051,1,X,5,102051,179aa149,2051
aa2052,2,X,5,102052,478aa52,2052
aa2053,3,X,3,102053,94aa75,2053
aa2054,4,X,1,102054,482aa35,2054
aa2055,2,X,4,102055,201aa72,2055
aa2056,1,X,3,102056,210aa114,2056
aa2057,4,X,1,102057,369aa128,2057
aa2058,3,O,5,102058,382aa99,2058
aa2059,2,X,5,102059,196aa58,2059
aa2060,2,O,5,102060,17aa27,2060
aa2061,4,X,4,102061,12aa54,2061
aa2062,2,O,3,102062,68aa136,2062
aa2063,4,O,2,102063,234aa6,2063
aa2064,1,X,5,102064,235aa78,2064
aa2065,3,X,2,102065,272aa129,2065
aa2066,3,O,5,102066,273aa84,2066
aa2067,1,O,5,102067,449aa81,2067
aa2068,4,O,5,102068,380aa109,2068
aa2069,2,X,3,102069,133aa136,2069
aa2070,3,X,4,102070,499aa106,2070
aa2071,1,O,4,102071,30aa117,2071
aa2072,3,X,1,102072,94aa20,2072
aa2073,3,O,4,102073,347aa87,2073
aa2074,1,O,1,102074,249aa88,2074
aa2075,3,O,4,102075,278aa13,2075
aa2076,1,O,1,102076,155aa55,2076
aa2077,1,O,4,102077,13aa146,2077
aa2078,3,X,4,102078,314aa121,2078
aa2079,4,O,5,102079,226aa80,2079
aa2080,4,X,5,102080,49aa140,2080
aa2081,4,X,2,102081,237aa45,2081
aa2082,3,X,2,102082,129aa38,2082
aa2083,4,X,1,102083,320aa127,2083
aa2084,4,X,3,102084,107aa61,2084
aa2085,3,X,1,102085,336aa91,2085
aa2086,3,X,4,102086,187aa86,2086
aa2087,3,O,5,102087,163aa138,2087
aa2088,1,O,5,102088,199aa36,2088
aa2089,4,O,2,102089,118aa19,2089
aa2090,1,O,2,102090,19aa48,2090
aa2091,2,X,1,102091,322aa149,2091
aa2092,3,X,2,102092,497aa30,2092
aa2093,3,X,4,102093,221aa37,2093
aa2094,4,O,1,102094,236aa104,2094
aa2095,4,O,3,102095,199aa66,2095
aa2096,1,X,5,102096,294aa68,2096
aa2097,2,O,1,102097,9aa15,2097
aa2098,3,X,5,102098,130aa139,2098
aa2099,2,O,2,102099,456aa25,2099
aa2100,2,X,1,102100,390aa38,2100
aa2101,4,X,1,102101,40aa121,2101
aa2102,3,O,1,102102,341aa45,2102
aa2103,2,X,2,102103,19aa97,2103
aa2104,3,X,5,102104,43aa35,2104
aa2105,2,X,3,102105,88aa47,2105
aa2106,3,X,5,102106,86aa111,2106
aa2107,1,O,4,102107,127aa87,2107
aa2108,1,O,5,102108,471aa56,2108
aa2109,4,O,1,102109,230aa127,2109
aa2110,1,O,5,102110,451aa15,2110
aa2111,2,O,5,102111,453aa31,2111
aa2112,1,X,1,102112,431aa84,2112
aa2113,2,O,4,102113,1aa6,2113
aa2114,2,X,1,102114,240aa6,2114
aa2115,2,X,5,102115,288aa26,2115
aa2116,2,O,2,102116,353aa116,2116
aa2117,1,O,5,102117,101aa96,2117
aa2118,2,X,4,102118,399aa76,2118
aa2119,3,X,3,102119,283aa15,2119
aa2120,4,X,2,102120,32aa137,2120
aa2121,4,O,2,102121,177aa129,2121
aa2122,2,X,5,102122,485aa133,2122
aa2123,2,X,3,102123,255aa108,2123
aa2124,1,O,1,102124,394aa34,2124
aa2125,4,X,2,102125,153aa53,2125
aa2126,3,X,5,102126,215aa112,2126
aa2127,2,O,5,102127,57aa102,2127
aa2128,3,X,3,102128,315aa56,2128
aa2129,3,X,2,102129,140aa119,2129
aa2130,3,X,5,102130,65aa32,2130
aa2131,4,X,1,102131,13aa142,2131
aa2132,3,O,5,102132,7aa22,2132
aa2133,1,O,4,102133,388aa20,2133
aa2134,1,X,3,102134,438aa148,2134
aa2135,3,X,5,102135,404aa125,2135
aa2136,3,O,3,102136,465aa112,2136
aa2137,3,O,2,102137,321aa62,2137
aa2138,1,X,3,102138,390aa145,2138
aa2139,3,O,5,102139,34aa102,2139
aa2140,2,O,1,102140,475aa113,2140
aa2141,4,X,1,102141,119aa38,2141
aa2142,4,X,4,102142,427aa73,2142
aa2143,3,X,2,102143,343aa16,2143
aa2144,1,O,4,102144,189aa103,2144
aa2145,1,O,2,102145,371aa144,2145
aa2146,2,X,5,102146,349aa33,2146
aa2147,2,O,1,102147,90aa143,2147
aa2148,3,O,5,102148,258aa28,2148
aa2149,1,O,4,102149,286aa34,2149
aa2150,2,X,3,102150,176aa102,2150
aa2151,1,O,1,102151,98aa121,2151
aa2152,4,O,5,102152,32aa126,2152
aa2153,3,X,1,102153,472aa75,2153
aa2154,1,X,4,102154,119aa49,2154
aa2155,1,O,1,102155,60aa22,2155
aa2156,3,X,5,102156,313aa93,2156
aa2157,4,X,4,102157,269aa141,2157
aa2158,3,O,2,102158,125aa51,2158
aa2159,4,O,1,102159,409aa22,2159
aa2160,1,X,4,102160,187aa142,2160
aa2161,3,O,1,102161,153aa3,2161
aa2162,3,O,2,102162,480aa150,2162
aa2163,3,X,5,102163,248aa14,2163
aa2164,4,X,4,102164,400aa58,2164
aa2165,1,X,4,102165,197aa114,2165
aa2166,4,X,1,102166,474aa101,2166
aa2167,4,O,5,102167,346aa57,2167
aa2168,3,X,1,102168,311aa146,2168
aa2169,4,X,4,102169,98aa85,2169
aa2170,3,X,5,102170,128aa71,2170
aa2171,1,O,4,102171,192aa32,2171
aa2172,4,O,1,102172,399aa19,2172
aa2173,3,O,3,102173,263aa105,2173
aa2174,2,X,4,102174,490aa72,2174
aa2175,1,O,2,102175,119aa132,2175
aa2176,3,X,5,102176,335aa37,2176
aa2177,4,X,3,102177,461aa56,2177
aa2178,3,O,4,102178,485aa94,2178
aa2179,4,O,1,102179,480aa97,2179
aa2180,2,O,2,102180,118aa133,2180
aa2181,4,X,4,102181,36aa74,2181
aa2182,3,O,1,102182,329aa35,2182
aa2183,3,X,5,102183,394aa48,2183
aa2184,1,O,4,102184,274aa85,2184
aa2185,4,X,3,102185,181aa146,2185
aa2186,3,X,3,102186,14aa13,2186
aa2187,4,X,3,102187,56aa56,2187
aa2188,4,X,3,102188,112aa37,2188
aa2189,2,O,1,102189,275aa112,2189
aa2190,1,O,3,102190,341aa36,2190
aa2191,1,O,5,102191,103aa115,2191
aa2192,2,O,4,102192,47aa52,2192
aa2193,4,X,5,102193,287aa50,2193
aa2194,4,X,3,102194,30aa54,2194
aa2195,1,X,3,102195,43aa49,2195
aa2196,1,O,1,102196,488aa71,2196
aa2197,4,X,3,102197,237aa11,2197
aa2198,2,O,2,102198,384aa113,2198
aa2199,1,X,4,102199,255aa121,2199
aa2200,4,O,3,102200,282aa107,2200
aa2201,4,X,4,102201,220aa146,2201
aa2202,2,O,1,102202,14aa146,2202
aa2203,2,O,5,102203,43aa80,2203
aa2204,3,O,5,102204,224aa90,2204
aa2205,3,X,3,102205,495aa28,2205
aa2206,4,O,3,102206,138aa15,2206
aa2207,3,X,5,102207,255aa104,2207
aa2208,3,X,2,102208,131aa99,2208
aa2209,2,X,1,102209,137aa15,2209
aa2210,3,O,5,102210,425aa89,2210
aa2211,4,O,4,102211,462aa35,2211
aa2212,3,X,5,102212,477aa90,2212
aa2213,2,O,4,102213,247aa10,2213
aa2214,2,X,3,102214,417aa121,2214
aa2215,3,O,1,102215,207aa64,2215
aa2216,3,X,2,102216,86aa22,2216
aa2217,2,X,1,102217,230aa110,2217
aa2218,3,O,3,102218,9aa19,2218
aa2219,2,O,3,102219,310aa150,2219
aa2220,1,O,5,102220,397aa70,2220
aa2221,1,X,2,102221,130aa6,2221
aa2222,1,X,1,102222,482aa107,2222
aa2223,2,O,2,102223,236aa141,2223
aa2224,1,X,3,102224,284aa37,2224
aa2225,3,X,3,102225,33aa120,2225
aa2226,4,O,4,102226,117aa132,2226
aa2227,2,X,1,102227,26aa132,2227
aa2228,4,X,3,102228,440aa56,2228
aa2229,3,O,2,102229,30aa141,2229
aa2230,4,X,3,102230,352aa16,2230
aa2231,1,X,1,102231,294aa25,2231
aa2232,2,O,1,102232,327aa40,2232
aa2233,2,O,5,102233,240aa47,2233
aa2234,3,X,3,102234,16aa100,2234
aa2235,3,X,2,102235,280aa74,2235
aa2236,1,X,1,102236,182aa118,2236
aa2237,2,O,1,102237,399aa33,2237
aa2238,2,X,3,102238,117aa130,2238
aa2239,4,O,1,102239,473aa30,2239
aa2240,1,X,4,102240,92aa127,2240
aa2241,2,X,5,102241,13aa68,2241
aa2242,1,X,3,102242,197aa141,2242
aa2243,3,X,3,102243,291aa27,2243
aa2244,2,X,3,102244,127aa85,2244
aa2245,4,O,2,102245,64aa11,2245
aa2246,4,O,3,102246,250aa82,2246
aa2247,3,X,1,102247,324aa62,2247
aa2248,3,X,1,102248,40aa18,2248
aa2249,1,X,4,102249,296aa106,2249
aa2250,1,O,1,102250,195aa135,2250
aa2251,4,O,2,102251,140aa18,2251
aa2252,2,X,4,102252,24aa21,2252
aa2253,3,X,2,102253,41aa84,2253
aa2254,3,X,4,102254,423aa79,2254
aa2255,4,O,4,102255,159aa86,2255
aa2256,4,X,5,102256,34aa124,2256
aa2257,4,O,3,102257,129aa148,2257
aa2258,2,X,4,102258,395aa96,2258
aa2259,2,X,2,102259,78aa69,2259
aa2260,3,O,3,102260,175aa89,2260
aa2261,4,X,4,102261,345aa111,2261
aa2262,2,X,3,102262,314aa21,2262
aa2263,3,O,3,102263,372aa146,2263
aa2264,2,O,2,102264,147aa64,2264
aa2265,2,O,3,102265,459aa117,2265
aa2266,1,O,2,102266,348aa39,2266
aa2267,4,X,1,102267,344aa64,2267
aa2268,4,O,2,102268,254aa119,2268
aa2269,2,O,3,102269,308aa119,2269
aa2270,1,O,4,102270,424aa119,2270
aa2271,1,O,5,102271,249aa84,2271
aa2272,2,X,1,102272,479aa35,2272
aa2273,3,X,3,102273,451aa37,2273
aa2274,4,X,3,102274,81aa150,2274
aa2275,2,O,5,102275,473aa68,2275
aa2276,2,O,4,102276,114aa79,2276
aa2277,2,O,1,102277,383aa20,2277
aa2278,4,X,1,102278,387aa14,2278
aa2279,3,O,5,102279,279aa8,2279
aa2280,2,O,5,102280,463aa81,2280
aa2281,3,X,3,102281,305aa51,2281
aa2282,4,O,1,102282,414aa54,2282
aa2283,2,O,1,102283,112aa50,2283
aa2284,2,X,4,102284,99aa95,2284
aa2285,4,X,4,102285,467aa84,2285
aa2286,3,X,4,102286,284aa142,2286
aa2287,3,X,4,102287,469aa11,2287
aa2288,2,O,3,102288,185aa113,2288
aa2289,4,X,5,102289,64aa144,2289
aa2290,4,O,5,102290,267aa32,2290
aa2291,4,O,1,102291,329aa45,2291
aa2292,2,O,5,102292,362aa16,2292
aa2293,1,O,5,102293,204aa53,2293
aa2294,3,O,2,102294,453aa111,2294
aa2295,4,O,5,102295,152aa40,2295
aa2296,3,O,4,102296,192aa74,2296
aa2297,2,X,1,102297,428aa10,2297
aa2298,1,O,4,102298,476aa143,2298
aa2299,3,X,5,102299,429aa27,2299
aa2300,1,O,2,102300,172aa35,2300
aa2301,4,O,5,102301,303aa62,2301
aa2302,2,X,5,102302,307aa61,2302
aa2303,4,X,2,102303,305aa65,2303
aa2304,4,X,2,102304,304aa111,2304
aa2305,2,O,4,102305,68aa118,2305
aa2306,2,X,1,102306,105aa92,2306
aa2307,2,X,1,102307,263aa80,2307
aa2308,3,O,4,102308,230aa107,2308
aa2309,4,O,4,102309,349aa58,2309
aa2310,4,O,5,102310,138aa88,2310
aa2311,2,O,4,102311,361aa96,2311
aa2312,4,O,3,102312,430aa143,2312
aa2313,3,O,1,102313,436aa85,2313
aa2314,4,X,5,102314,256aa145,2314
aa2315,4,O,3,102315,44aa109,2315
aa2316,3,X,4,102316,480aa120,2316
aa2317,1,X,4,102317,116aa120,2317
aa2318,2,X,5,102318,437aa112,2318
aa2319,2,O,4,102319,15aa54,2319
aa2320,4,X,2,102320,376aa30,2320
aa2321,2,O,5,102321,78aa42,2321
aa2322,2,X,4,102322,387aa103,2322
aa2323,2,X,2,102323,158aa16,2323
aa2324,4,X,1,102324,420aa60,2324
aa2325,4,O,2,102325,376aa23,2325
aa2326,1,O,1,102326,205aa44,2326
aa2327,2,X,1,102327,44aa88,2327
aa2328,1,X,3,102328,162aa40,2328
aa2329,4,O,4,102329,451aa53,2329
aa2330,1,O,3,102330,117aa69,2330
aa2331,4,X,3,102331,476aa17,2331
aa2332,4,X,5,102332,417aa33,2332
aa2333,1,O,3,102333,219aa12,2333
aa2334,3,X,4,102334,262aa107,2334
aa2335,1,X,4,102335,116aa147,2335
aa2336,2,X,1,102336,332aa120,2336
aa2337,1,X,2,102337,227aa135,2337
aa2338,4,X,5,102338,46aa14,2338
aa2339,4,O,1,102339,165aa57,2339
aa2340,2,X,3,102340,21aa130,2340
aa2341,1,X,1,102341,358aa68,2341
aa2342,4,O,2,102342,62aa102,2342
aa2343,3,X,4,102343,104aa142,2343
aa2344,3,X,5,102344,266aa62,2344
aa2345,3,O,3,102345,113aa125,2345
aa2346,2,X,5,102346,63aa100,2346
aa2347,1,X,3,102347,4aa135,2347
aa2348,1,O,3,102348,272aa1,2348
aa2349,4,X,1,102349,445aa78,2349
aa2350,1,O,1,102350,6aa29,2350
aa2351,2,X,2,102351,395aa124,2351
aa2352,2,X,1,102352,494aa127,2352
aa2353,1,X,1,102353,160aa2,2353
aa2354,3,X,2,102354,157aa96,2354
aa2355,2,O,2,102355,196aa17,2355
aa2356,3,O,5,102356,17aa70,2356
aa2357,3,X,4,102357,383aa3,2357
aa2358,3,O,3,102358,254aa106,2358
aa2359,4,X,3,102359,209aa144,2359
aa2360,3,O,2,102360,8aa7,2360
aa2361,3,O,1,102361,77aa50,2361
aa2362,3,O,4,102362,236aa147,2362
aa2363,1,X,4,102363,178aa8,2363
aa2364,2,X,3,102364,221aa54,2364
aa2365,1,O,2,102365,139aa45,2365
aa2366,4,X,3,102366,37aa35,2366
aa2367,4,O,2,102367,404aa127,2367
aa2368,3,X,1,102368,74aa49,2368
aa2369,2,X,1,102369,42aa134,2369
aa2370,2,X,4,102370,434aa43,2370
aa2371,1,X,3,102371,433aa71,2371
aa2372,3,X,2,102372,280aa33,2372
aa2373,1,X,5,102373,55aa70,2373
aa2374,3,X,2,102374,469aa75,2374
aa2375,2,X,5,102375,294aa40,2375
aa2376,3,X,3,102376,46aa70,2376
aa2377,3,O,4,102377,14aa12,2377
aa2378,3,O,4,102378,423aa139,2378
aa2379,3,O,2,102379,309aa143,2379
aa2380,3,X,4,102380,332aa17,2380
aa2381,1,X,1,102381,163aa73,2381
aa2382,4,O,1,102382,361aa7,2382
aa2383,3,X,2,102383,460aa59,2383
aa2384,1,X,4,102384,176aa130,2384
aa2385,1,O,5,102385,49aa108,2385
aa2386,2,O,1,102386,232aa23,2386
aa2387,1,O,4,102387,322aa5,2387
aa2388,4,X,5,102388,73aa118,2388
aa2389,2,X,2,102389,494aa49,2389
aa2390,4,O,1,102390,34aa53,2390
aa2391,3,X,4,102391,59aa138,2391
aa2392,4,O,3,102392,428aa95,2392
aa2393,3,X,3,102393,110aa30,2393
aa2394,4,X,1,102394,49aa32,2394
aa2395,2,X,1,102395,477aa54,2395
aa2396,4,O,1,102396,64aa115,2396
aa2397,4,X,1,102397,394aa10,2397
aa2398,2,O,1,102398,128aa148,2398
aa2399,1,O,4,102399,144aa31,2399
aa2400,1,O,3,102400,293aa112,2400
aa2401,4,X,1,102401,377aa87,2401
aa2402,4,O,2,102402,46aa77,2402
aa2403,3,X,5,102403,74aa117,2403
aa2404,1,X,2,102404,50aa76,2404
aa2405,1,O,4,102405,335aa6,2405
aa2406,2,X,4,102406,418aa106,2406
aa2407,2,X,5,102407,469aa57,2407
aa2408,2,X,3,102408,95aa24,2408
aa2409,3,X,4,102409,66aa111,2409
aa2410,4,X,3,102410,180aa104,2410
aa2411,3,O,2,102411,26aa71,2411
aa2412,4,X,2,102412,267aa72,2412
aa2413,3,O,3,102413,227aa141,2413
aa2414,4,X,4,102414,126aa87,2414
aa2415,1,X,3,102415,306aa69,2415
aa2416,1,O,5,102416,310aa139,2416
aa2417,1,X,2,102417,235aa70,2417
aa2418,2,O,1,102418,13aa120,2418
aa2419,2,O,4,102419,166aa14,2419
aa2420,1,X,2,102420,256aa53,2420
aa2421,4,O,5,102421,230aa143,2421
aa2422,4,X,5,102422,230aa22,2422
aa2423,4,O,3,102423,255aa75,2423
aa2424,2,O,4,102424,375aa49,2424
aa2425,2,O,5,102425,100aa96,2425
aa2426,4,X,3,102426,22aa57,2426
aa2427,1,X,1,102427,66aa131,2427
aa2428,4,X,1,102428,179aa9,2428
aa2429,2,X,4,102429,70aa134,2429
aa2430,3,O,2,102430,283aa74,2430
aa2431,1,O,3,102431,59aa107,2431
aa2432,3,O,4,102432,2aa149,2432
aa2433,2,X,1,102433,348aa42,2433
aa2434,1,X,1,102434,411aa91,2434
aa2435,4,X,5,102435,342aa115,2435
aa2436,2,O,3,102436,127aa145,2436
aa2437,4,X,3,102437,345aa47,2437
aa2438,4,X,3,102438,220aa64,2438
aa2439,3,O,1,102439,414aa85,2439
aa2440,1,X,2,102440,489aa7,2440
aa2441,2,O,4,102441,446aa113,2441
aa2442,3,O,2,102442,423aa64,2442
aa2443,4,O,2,102443,472aa84,2443
aa2444,4,X,5,102444,432aa146,2444
aa2445,4,X,4,102445,346aa95,2445
aa2446,3,O,1,102446,171aa84,2446
aa2447,1,O,1,102447,283aa141,2447
aa2448,1,X,4,102448,34aa31,2448
aa2449,3,O,5,102449,457aa124,2449
aa2450,4,O,3,102450,156aa100,2450
aa2451,3,X,2,102451,109aa1,2451
aa2452,3,X,1,102452,487aa96,2452
aa2453,3,X,4,102453,362aa41,2453
aa2454,2,O,1,102454,277aa69,2454
aa2455,4,O,2,102455,208aa36,2455
aa2456,2,X,4,102456,47aa137,2456
aa2457,4,O,2,102457,351aa126,2457
aa2458,1,O,1,102458,371aa25,2458
aa2459,4,O,4,102459,387aa141,2459
aa2460,1,X,1,102460,47aa51,2460
aa2461,2,X,4,102461,497aa116,2461
aa2462,2,O,1,102462,499aa115,2462
aa2463,2,X,3,102463,122aa78,2463
aa2464,1,O,5,102464,463aa72,2464
aa2465,2,X,5,102465,318aa121,2465
aa2466,1,X,3,102466,307aa134,2466
aa2467,4,O,1,102467,241aa62,2467
aa2468,2,O,2,102468,53aa50,2468
aa2469,1,X,1,102469,480aa136,2469
aa2470,4,O,3,102470,433aa47,2470
aa2471,2,X,1,102471,165aa91,2471
aa2472,3,X,3,102472,52aa26,2472
aa2473,2,O,3,102473,79aa84,2473
aa2474,3,O,1,102474,493aa12,2474
aa2475,3,X,2,102475,216aa122,2475
aa2476,3,O,5,102476,435aa142,2476
aa2477,3,O,2,102477,478aa123,2477
aa2478,1,X,1,102478,119aa39,2478
aa2479,2,O,2,102479,489aa36,2479
aa2480,4,X,1,102480,236aa57,2480
aa2481,4,X,2,102481,203aa128,2481
aa2482,3,O,5,102482,62aa50,2482
aa2483,4,X,5,102483,279aa150,2483
aa2484,4,O,4,102484,432aa97,2484
aa2485,4,X,5,102485,411aa25,2485
aa2486,4,X,2,102486,359aa30,2486
aa2487,1,O,5,102487,78aa24,2487
aa2488,3,O,3,102488,396aa106,2488
aa2489,3,O,4,102489,412aa74,2489
aa2490,4,X,5,102490,60aa119,2490
aa2491,4,X,2,102491,132aa60,2491
aa2492,3,X,5,102492,399aa33,2492
aa2493,3,X,2,102493,260aa31,2493
aa2494,3,X,5,102494,23aa49,2494
aa2495,2,X,2,102495,58aa43,2495
aa2496,4,O,3,102496,190aa19,2496
aa2497,4,O,4,102497,401aa71,2497
aa2498,3,O,1,102498,262aa31,2498
aa2499,2,X,4,102499,27aa27,2499
aa2500,3,O,5,102500,123aa127,2500
